workload	metric	strategy	sc	x_rate	y_value
traceB	ttft_px	Dynamo	4.3	103.2	424
traceB	ttft_px	Predictor	3.1	74.4	181
traceB	ttft_px	Predictor	3.4	81.6	190
traceB	ttft_px	Predictor	3.7	88.8	207
traceB	ttft_px	Predictor	4.0	96	232
traceB	ttft_px	Predictor	4.3	103.2	274
traceB	ttft_px	vLLM-v1	3.1	74.4	237
traceB	ttft_px	vLLM-v1	3.4	81.6	265.05
traceB	ttft_px	vLLM-v1	3.7	88.8	306
traceB	ttft_px	vLLM-v1	4.0	96	366
traceB	ttft_px	vLLM-v1	4.3	103.2	460
traceB	tpot_mean	Company-X	3.7	88.8	31.4016
traceB	tpot_mean	Company-X	4.0	96	33.9111
traceB	tpot_mean	Company-X	4.3	103.2	39.2682
traceB	tpot_mean	Dynamo	3.1	74.4	25.109
traceB	tpot_mean	Dynamo	3.4	81.6	28.8371
traceB	tpot_mean	Dynamo	3.7	88.8	33.609
traceB	tpot_mean	Dynamo	4.0	96	39.8262
traceB	tpot_mean	Dynamo	4.3	103.2	48.1486
traceB	tpot_mean	Predictor	3.1	74.4	22.434
traceB	tpot_mean	Predictor	3.4	81.6	26.277
traceB	tpot_mean	Predictor	3.7	88.8	31.537
traceB	tpot_mean	Predictor	4.0	96	38.884
traceB	tpot_mean	Predictor	4.3	103.2	48.3607
traceB	tpot_mean	vLLM-v1	3.1	74.4	24.0626
traceB	tpot_mean	vLLM-v1	3.4	81.6	29.0018
traceB	tpot_mean	vLLM-v1	3.7	88.8	34.7508
traceB	tpot_mean	vLLM-v1	4.0	96	44.233
traceB	tpot_mean	vLLM-v1	4.3	103.2	54.7788
traceB	tpot_px	Company-X	3.7	88.8	57
traceB	tpot_px	Company-X	4.0	96	69
traceB	tpot_px	Company-X	4.3	103.2	111
traceB	tpot_px	Dynamo	3.1	74.4	46
traceB	tpot_px	Dynamo	3.4	81.6	53
traceB	tpot_px	Dynamo	3.7	88.8	62
traceB	tpot_px	Dynamo	4.0	96	77
traceB	tpot_px	Dynamo	4.3	103.2	96
traceB	tpot_px	Predictor	3.1	74.4	39
traceB	tpot_px	Predictor	3.4	81.6	48
traceB	tpot_px	Predictor	3.7	88.8	58
traceB	tpot_px	Predictor	4.0	96	74
traceB	tpot_px	Predictor	4.3	103.2	98
traceB	tpot_px	vLLM-v1	3.1	74.4	44
traceB	tpot_px	vLLM-v1	3.4	81.6	54
traceB	tpot_px	vLLM-v1	3.7	88.8	64
traceB	tpot_px	vLLM-v1	4.0	96	87
traceB	tpot_px	vLLM-v1	4.3	103.2	114
coder	ttft_mean	Company-X	0.9	4.5	338.931
coder	ttft_mean	Company-X	1.1	5.5	353.982
coder	ttft_mean	Company-X	1.3	6.5	375.833
coder	ttft_mean	Company-X	1.5	7.5	400.424
coder	ttft_mean	Company-X	1.7	8.5	430.373
coder	ttft_mean	Dynamo	0.9	4.5	361.386
coder	ttft_mean	Dynamo	1.1	5.5	386.996
coder	ttft_mean	Dynamo	1.3	6.5	413.763
coder	ttft_mean	Dynamo	1.5	7.5	456.341
coder	ttft_mean	Dynamo	1.7	8.5	496.255
coder	ttft_mean	Predictor	0.9	4.5	305.318
coder	ttft_mean	Predictor	1.1	5.5	310.924
coder	ttft_mean	Predictor	1.3	6.5	318.5
coder	ttft_mean	Predictor	1.5	7.5	329.934
coder	ttft_mean	Predictor	1.7	8.5	338.997
coder	ttft_mean	vLLM-v1	0.9	4.5	397.162
coder	ttft_mean	vLLM-v1	1.1	5.5	404.391
coder	ttft_mean	vLLM-v1	1.3	6.5	417.055
coder	ttft_mean	vLLM-v1	1.5	7.5	434.004
coder	ttft_mean	vLLM-v1	1.7	8.5	444.198
coder	ttft_px	Company-X	0.9	4.5	1102
coder	ttft_px	Company-X	1.1	5.5	1120
coder	ttft_px	Company-X	1.3	6.5	1174
coder	ttft_px	Company-X	1.5	7.5	1243.5
coder	ttft_px	Company-X	1.7	8.5	1342.4
coder	ttft_px	Dynamo	0.9	4.5	1090
coder	ttft_px	Dynamo	1.1	5.5	1145.5
coder	ttft_px	Dynamo	1.3	6.5	1200.25
coder	ttft_px	Dynamo	1.5	7.5	1329.6
coder	ttft_px	Dynamo	1.7	8.5	1382
coder	ttft_px	Predictor	0.9	4.5	1020.95
coder	ttft_px	Predictor	1.1	5.5	1040
coder	ttft_px	Predictor	1.3	6.5	1051.15
coder	ttft_px	Predictor	1.5	7.5	1069.55
coder	ttft_px	Predictor	1.7	8.5	1073
coder	ttft_px	vLLM-v1	0.9	4.5	1130
coder	ttft_px	vLLM-v1	1.1	5.5	1141
coder	ttft_px	vLLM-v1	1.3	6.5	1172.7
coder	ttft_px	vLLM-v1	1.5	7.5	1198
coder	ttft_px	vLLM-v1	1.7	8.5	1219.3
coder	tpot_mean	Company-X	0.9	4.5	13.772
coder	tpot_mean	Company-X	1.1	5.5	17.1365
coder	tpot_mean	Company-X	1.3	6.5	20.1291
coder	tpot_mean	Company-X	1.5	7.5	23.7373
coder	tpot_mean	Company-X	1.7	8.5	30.7266
coder	tpot_mean	Dynamo	0.9	4.5	14.8907
coder	tpot_mean	Dynamo	1.1	5.5	18.2761
coder	tpot_mean	Dynamo	1.3	6.5	21.8055
coder	tpot_mean	Dynamo	1.5	7.5	25.8451
coder	tpot_mean	Dynamo	1.7	8.5	34.9541
coder	tpot_mean	Predictor	0.9	4.5	14.1797
coder	tpot_mean	Predictor	1.1	5.5	17.1703
coder	tpot_mean	Predictor	1.3	6.5	20.5325
coder	tpot_mean	Predictor	1.5	7.5	24.7889
coder	tpot_mean	Predictor	1.7	8.5	31.181
coder	tpot_mean	vLLM-v1	0.9	4.5	15.0986
coder	tpot_mean	vLLM-v1	1.1	5.5	19.5525
coder	tpot_mean	vLLM-v1	1.3	6.5	23.8065
coder	tpot_mean	vLLM-v1	1.5	7.5	31.0206
coder	tpot_mean	vLLM-v1	1.7	8.5	36.7621
coder	tpot_px	Company-X	0.9	4.5	17
coder	tpot_px	Company-X	1.1	5.5	22
coder	tpot_px	Company-X	1.3	6.5	26
coder	tpot_px	Company-X	1.5	7.5	32
coder	tpot_px	Company-X	1.7	8.5	44
coder	tpot_px	Dynamo	0.9	4.5	20
coder	tpot_px	Dynamo	1.1	5.5	24
coder	tpot_px	Dynamo	1.3	6.5	29
coder	tpot_px	Dynamo	1.5	7.5	36
coder	tpot_px	Dynamo	1.7	8.5	52
coder	tpot_px	Predictor	0.9	4.5	19
coder	tpot_px	Predictor	1.1	5.5	22
coder	tpot_px	Predictor	1.3	6.5	26
coder	tpot_px	Predictor	1.5	7.5	33
coder	tpot_px	Predictor	1.7	8.5	46
coder	tpot_px	vLLM-v1	0.9	4.5	20
coder	tpot_px	vLLM-v1	1.1	5.5	26
coder	tpot_px	vLLM-v1	1.3	6.5	33
coder	tpot_px	vLLM-v1	1.5	7.5	46
coder	tpot_px	vLLM-v1	1.7	8.5	55
traceB_qwen25_7b	ttft_mean	Company-X	1.9	45.6	114.243
traceB_qwen25_7b	ttft_mean	Company-X	2.2	52.8	122.151
traceB_qwen25_7b	ttft_mean	Company-X	2.5	60	132.096
traceB_qwen25_7b	ttft_mean	Company-X	2.8	67.2	148.239
traceB_qwen25_7b	ttft_mean	Company-X	3.1	74.4	163.962
traceB_qwen25_7b	ttft_mean	Dynamo	1.9	45.6	106.15
traceB_qwen25_7b	ttft_mean	Dynamo	2.2	52.8	114.481
traceB_qwen25_7b	ttft_mean	Dynamo	2.5	60	127.008
traceB_qwen25_7b	ttft_mean	Dynamo	2.8	67.2	139.653
traceB_qwen25_7b	ttft_mean	Dynamo	3.1	74.4	155.397
traceB_qwen25_7b	ttft_mean	Predictor	1.9	45.6	84.7819
traceB_qwen25_7b	ttft_mean	Predictor	2.2	52.8	84.7253
traceB_qwen25_7b	ttft_mean	Predictor	2.5	60	88.4926
traceB_qwen25_7b	ttft_mean	Predictor	2.8	67.2	93.4775
traceB_qwen25_7b	ttft_mean	Predictor	3.1	74.4	102.34
traceB_qwen25_7b	ttft_mean	vLLM-v1	1.9	45.6	89.1087
traceB_qwen25_7b	ttft_mean	vLLM-v1	2.2	52.8	94.5548
traceB_qwen25_7b	ttft_mean	vLLM-v1	2.5	60	100.314
traceB_qwen25_7b	ttft_mean	vLLM-v1	2.8	67.2	108.745
traceB_qwen25_7b	ttft_mean	vLLM-v1	3.1	74.4	122.87
traceB_qwen25_7b	ttft_px	Company-X	1.9	45.6	393
traceB_qwen25_7b	ttft_px	Company-X	2.2	52.8	419
traceB_qwen25_7b	ttft_px	Company-X	2.5	60	462
traceB_qwen25_7b	ttft_px	Company-X	2.8	67.2	554
traceB_qwen25_7b	ttft_px	Company-X	3.1	74.4	618
traceB_qwen25_7b	ttft_px	Dynamo	1.9	45.6	313
traceB_qwen25_7b	ttft_px	Dynamo	2.2	52.8	344
traceB_qwen25_7b	ttft_px	Dynamo	2.5	60	383
traceB_qwen25_7b	ttft_px	Dynamo	2.8	67.2	411
traceB_qwen25_7b	ttft_px	Dynamo	3.1	74.4	477
traceB_qwen25_7b	ttft_px	Predictor	1.9	45.6	230
traceB_qwen25_7b	ttft_px	Predictor	2.2	52.8	233
traceB_qwen25_7b	ttft_px	Predictor	2.5	60	246
traceB_qwen25_7b	ttft_px	Predictor	2.8	67.2	265
traceB_qwen25_7b	ttft_px	Predictor	3.1	74.4	289
traceB_qwen25_7b	ttft_px	vLLM-v1	1.9	45.6	266
traceB_qwen25_7b	ttft_px	vLLM-v1	2.2	52.8	279
traceB_qwen25_7b	ttft_px	vLLM-v1	2.5	60	297
traceB_qwen25_7b	ttft_px	vLLM-v1	2.8	67.2	328
traceB_qwen25_7b	ttft_px	vLLM-v1	3.1	74.4	390
traceB_qwen25_7b	tpot_mean	Company-X	1.9	45.6	8.75851
traceB_qwen25_7b	tpot_mean	Company-X	2.2	52.8	9.68826
traceB_qwen25_7b	tpot_mean	Company-X	2.5	60	10.7087
traceB_qwen25_7b	tpot_mean	Company-X	2.8	67.2	12.2344
traceB_qwen25_7b	tpot_mean	Company-X	3.1	74.4	14.2877
traceB_qwen25_7b	tpot_mean	Dynamo	1.9	45.6	11.3498
traceB_qwen25_7b	tpot_mean	Dynamo	2.2	52.8	12.6229
traceB_qwen25_7b	tpot_mean	Dynamo	2.5	60	14.1759
traceB_qwen25_7b	tpot_mean	Dynamo	2.8	67.2	16.1664
traceB_qwen25_7b	tpot_mean	Dynamo	3.1	74.4	19.4392
traceB_qwen25_7b	tpot_mean	Predictor	1.9	45.6	9.42604
traceB_qwen25_7b	tpot_mean	Predictor	2.2	52.8	10.4618
traceB_qwen25_7b	tpot_mean	Predictor	2.5	60	11.685
traceB_qwen25_7b	tpot_mean	Predictor	2.8	67.2	13.5865
traceB_qwen25_7b	tpot_mean	Predictor	3.1	74.4	16.8801
traceB_qwen25_7b	tpot_mean	vLLM-v1	1.9	45.6	9.16964
traceB_qwen25_7b	tpot_mean	vLLM-v1	2.2	52.8	10.2733
traceB_qwen25_7b	tpot_mean	vLLM-v1	2.5	60	11.3913
traceB_qwen25_7b	tpot_mean	vLLM-v1	2.8	67.2	13.2581
traceB_qwen25_7b	tpot_mean	vLLM-v1	3.1	74.4	16.8124
traceB_qwen25_7b	tpot_px	Company-X	1.9	45.6	15
traceB_qwen25_7b	tpot_px	Company-X	2.2	52.8	17
traceB_qwen25_7b	tpot_px	Company-X	2.5	60	20
traceB_qwen25_7b	tpot_px	Company-X	2.8	67.2	24
traceB_qwen25_7b	tpot_px	Company-X	3.1	74.4	32
traceB_qwen25_7b	tpot_px	Dynamo	1.9	45.6	23
traceB_qwen25_7b	tpot_px	Dynamo	2.2	52.8	27
traceB_qwen25_7b	tpot_px	Dynamo	2.5	60	31
traceB_qwen25_7b	tpot_px	Dynamo	2.8	67.2	37
traceB_qwen25_7b	tpot_px	Dynamo	3.1	74.4	47
traceB_qwen25_7b	tpot_px	Predictor	1.9	45.6	17
traceB_qwen25_7b	tpot_px	Predictor	2.2	52.8	19
traceB_qwen25_7b	tpot_px	Predictor	2.5	60	22
traceB_qwen25_7b	tpot_px	Predictor	2.8	67.2	28
traceB_qwen25_7b	tpot_px	Predictor	3.1	74.4	41
traceB_qwen25_7b	tpot_px	vLLM-v1	1.9	45.6	16
traceB_qwen25_7b	tpot_px	vLLM-v1	2.2	52.8	18
traceB_qwen25_7b	tpot_px	vLLM-v1	2.5	60	22
traceB_qwen25_7b	tpot_px	vLLM-v1	2.8	67.2	28
traceB_qwen25_7b	tpot_px	vLLM-v1	3.1	74.4	41
